sample_id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,label
10,57.98995708,288358.4,1.109555169,0.199094212,183.746607,26.22768229,7.070650226,2.77743E+11,-613443.3935,2.91414E+14,1.086659932,525.2146026,,11.9651311,1.162799319,1.066920735,-9.1631E+12,30323.12488,217426.5855,41.35542443,,,-0.026274753,32.02783875,1.058347347,165912.9572,103406.5164,6.02219263,383.2924366,0.175889509,,-2.595600397,44,26.27158657,2.001258465,-4.147329232,-4.00598E+12,576193.6999,7.525702627,1275211381,331189.9328,221.4183906,-1556341821,,53.91239204,-1.043472709,-5.393108751,268637.5654,-247128942.2,-6.281700458,1.265799342,4.98444E+15,122867.007,,288358.4,416428.5924,2.856431182,0,-154824.1687,15.49050885,72954675.2,-317357.0896,,294.6872098,1126.4,11,3.14862E+13,223.6288866,238450.6884,603255.2784,160.7345633,1.055250181,-255353.2105,0.068230053,0.735189025,651.9906176,-7.194697017,0,4505.6,-6.13889E+15,0.88,-12.56951518,13137862081,0.189292743,1.37331E+14,-0.021540198,1.05945E+13,6483134267,18022.4,719714493.2,529324.085,-5.60876E+12,1126.4,657759.1438,-12036891.44,120.5176752,286701.9447,15.98256584,120804.0671,163.6846651,0,-315285350,70.47843434,3.950487209,0.158630629,-16.83777148,193.8403224,0
11,,288358.4,1.110710654,,273.995882,4.353947074,-14.16457216,-1.44457E+11,-984608.651,2.93867E+15,1.071796777,156.8770241,452147.8012,-10.36671925,5.422862572,0.42759582,2.768E+13,63894.86853,347480.4999,3.461494513,1980,270900.3636,0.021834363,555.3602245,0.016601395,41166.86528,51243.36914,0.637334002,297.8628484,0.867817952,7.639060378,122.0830068,,-2.732143222,3.150096818,-6.076017445,9.02944E+12,26718.97892,12.36847151,764033971.3,204925.516,180.8990883,-4651917213,,55.47110909,-0.035268488,45.36398925,560899.4236,169243990.8,5.653598532,1.80061717,6.04195E+15,449142.3692,0.334041452,288358.4,265720.5528,18.74753968,0,33236.24601,-0.898112363,72954675.2,-41714.37469,3.532062719,176.6370364,1126.4,11,-3.53397E+13,-35.09252682,244583.9846,104964.3473,150.8009529,1.071100677,12124116.23,0.992207756,0.553379918,589.6141294,-3.433663655,0,4505.6,2.34854E+15,0.88,0.744028595,58313661204,0.929044233,-1.37599E+14,-0.003423952,1.47253E+13,-33076455041,18022.4,199695241.2,344060.463,5.13352E+12,1126.4,,24723785.02,150.6178793,-8795.144367,8.938446437,,199.0174695,0,-60357256,105.5377488,0.347492396,1.68630301,-10.92306419,250.5399973,3
12,32.76011871,288358.4,1.102317132,0.822616805,243.1901191,5.556984341,-1.806020374,1.19361E+12,-689194.0221,4.42241E+15,1.080963645,,190352.4419,63.26428849,45.29648383,1.051418692,-2.41214E+12,63754.40144,212229.7533,21.65719621,1980,78493.31993,0.06058344,656.2663506,1.482054631,57928.64096,135998.4148,,165.4261415,0.118016734,22.67413998,-7.981278188,44,20.29100242,0.101412183,50.40685648,-6.96108E+12,299115.5902,18.90585426,-771236957.6,155835.3344,147.4530924,-3956293689,-440620.5211,58.33402883,0.428084711,25.76350319,705178.2159,-166853642.5,-10.71196763,,-4.91732E+15,539122.269,1.631456123,288358.4,594491.0506,,0,-35995.74894,36.93926426,72954675.2,-279127.3747,0.998071356,219.547811,1126.4,11,-1.41389E+13,133.6694096,,,104.2524434,0.039617574,-2181291.205,3.147385289,1.479713775,287.8089677,58.09440475,0,4505.6,-2.68476E+15,,13.28042472,41352967751,0.803588887,2.79868E+14,0.014979305,,1.8687E+11,18022.4,128357337.7,329455.8106,1.32611E+12,1126.4,635599.7499,-11056054.79,,-386198.8563,58.46652906,37789.15625,288.4655773,0,-295713943.6,127.9690572,0.914863437,0.106093368,38.78927563,305.6336689,2
13,67.60798772,288358.4,1.107323753,0.28710576,,6.780638699,-2.153108338,-4.07618E+11,-99330.09749,-1.98821E+15,1.054496847,241.1431323,602610.5367,24.09917648,-4.064116358,0.90366471,1.01449E+13,71626.98789,31340.67004,20.77584991,1980,222938.2466,,515.030989,0.611755646,205906.4613,73739.78339,9.67962202,358.7427583,,,96.09360597,44,-10.40592442,,0.024927186,2.89743E+12,779693.8124,20.30364273,-950511418.8,569397.0916,208.3088717,2090429461,1097651.309,25.72078741,-0.104937898,37.30452324,466513.0177,,35.61189328,3.613136358,2.64091E+15,596769.0951,1.37060784,288358.4,588521.8108,496.0600209,0,11932.57823,17.265071,72954675.2,623472.9774,0.552158305,342.9174439,1126.4,11,1.3195E+13,42.24778634,107082.2146,150077.7168,148.2381819,,1464015.808,0.023887852,5.14894518,448.402425,-9.443282977,0,4505.6,3.45376E+15,0.88,96.48448967,-68985032302,0.520115072,5.68367E+13,0.005025261,-5.3128E+12,-50922115896,18022.4,403997198.8,526761.0762,2.4785E+13,1126.4,80486.35074,-2765261.984,135.6142014,151645.2203,-18.08525864,178940.2291,193.5463829,0,76804163.7,247.080238,2.069845415,0.260005957,16.37153692,337.7243779,3
14,48.94548134,288358.4,1.110150873,0.381190852,238.2528177,4.444870357,14.02829924,1.0653E+11,-888877.9005,-3.14128E+15,1.046133491,479.2037198,348967.8391,-9.880409803,1.963018718,0.411524268,2.32696E+13,35264.80311,245854.26,10.48691957,1980,443882.2523,0.000624232,335.4781165,0.598973639,197985.779,45860.80591,20.3528444,336.6208569,0.131628906,8.468835033,209.060568,44,-12.21345865,0.434539005,-15.46096874,1.66045E+13,519249.8081,15.3425243,-444358532,,194.2740985,-2075142614,177092.3859,20.05052141,0.798590017,3.611686155,518468.1914,-246520013,-10.29265024,0.417215237,2.97236E+15,660018.3954,0.287948251,288358.4,,3.262962275,0,14831.13804,-0.402940767,72954675.2,-110651.6952,0.346089926,355.622973,1126.4,11,1.12175E+13,103.8097667,503945.8335,50000.26312,131.7434424,1.079531945,5355742.748,1.477292076,1.123632241,457.9858137,-19.57213239,0,4505.6,-1.01E+16,0.88,-74.96541362,,0.054282014,8.60054E+12,0.026382473,-4.13274E+12,67530765074,18022.4,-220629444.4,537832.7189,1.14009E+12,1126.4,670496.3653,-11255716.18,124.1642488,-970991.8466,6.313230318,158920.7336,215.0211907,0,-496287888.2,205.9275226,0.116470666,0.412681677,-8.109260451,207.8585924,3
15,118.2410869,288358.4,1.106468068,1.172701198,119.3490943,12.3998887,1.766084894,,451170.4605,2.00819E+15,,221.0693102,318605.8814,11.73763394,4.975479782,1.076214413,2.14305E+13,36262.76187,187040.7147,-36.98819449,1980,175780.6499,-0.009646252,459.2984559,0.585246864,170562.8442,,-0.471520238,219.3452838,0.197443404,-4.276673733,82.28459223,44,2.558281327,0.113701125,16.28379277,1.75149E+12,132207.2854,24.20332079,-759456907.1,394691.183,238.3589181,-3441232798,538548.7799,62.22597686,0.59702397,21.98298076,643025.6657,556676452.1,-33.72352227,2.961594356,-7.28518E+14,173293.3461,0.255286211,288358.4,306584.3186,-14.33132973,0,,-11.13132699,72954675.2,-493906.0468,,259.5943156,1126.4,11,1.45094E+13,197.6339583,392491.2644,642043.3958,210.2877293,0.12133955,8121593.822,1.18818909,3.258904687,513.8784659,-6.488325104,0,4505.6,-1.11E+16,0.88,-56.60240598,-20875472570,0.517565285,1.34028E+14,0.015327552,-9.4335E+12,-2.07782E+11,18022.4,-126865790.5,431127.547,3.96968E+12,1126.4,584613.7132,-8153740.56,,,15.12701217,,166.2224858,0,-260636265.8,,2.359433134,2.419665249,20.82717265,97.23627262,2
16,72.33358503,288358.4,1.104363484,1.309631466,160.7371996,4.047478784,18.54007343,-2200839432,290787.7912,1.53035E+15,1.061858706,,13382.60826,37.12798645,32.7893122,1.055699217,-2.49836E+13,,340637.522,1.745476994,1980,178731.0763,0.07454223,225.3245404,0.77536346,258788.9396,110838.0574,18.443096,264.1082721,0.061192166,37.53420654,109.4219334,,48.77813143,0.333492017,34.72574921,4.39149E+12,,3.496512967,-1114260040,440277.8639,120.8916208,,-265110.4023,42.41302062,0.118147971,61.77307721,181460.6822,599323692.2,10.7234318,0.37881219,-1.9321E+15,254856.3776,0.520711651,288358.4,129277.2503,7.174994563,0,-67131.234,40.85456543,72954675.2,-320780.286,0.621936656,255.7449329,1126.4,11,2.01282E+13,222.5261593,222014.8186,719639.778,166.3547914,0.066956759,3307813.131,,3.412982326,293.3813216,57.03875175,0,4505.6,-1.92E+16,0.88,-64.56409277,-21505356447,0.258714652,-55382037016,0.011747256,-1.62319E+13,93308148230,18022.4,880308847.3,748883.5385,8.87504E+11,1126.4,131207.1503,-17507412.41,60.5820256,203002.8729,53.82708875,62843.55306,152.5121965,0,-351778136.1,136.107997,0.064243094,2.238217004,42.1649275,152.9286286,2
17,86.00452467,288358.4,1.102093445,1.440522395,223.2538512,6.844563764,11.66319779,2.59984E+11,-126969.9038,5.94342E+14,1.074453828,473.5390516,556273.6354,-1.513158926,-3.792423875,,-1.87985E+13,69074.61016,38918.77359,-7.156318672,1980,174031.3059,0.046295569,305.0903788,1.596260777,,,-6.010959502,292.7253937,0.126535671,3.286444881,95.29683573,44,1.149757024,0.807480852,6.934622726,1.94696E+13,163814.1497,20.29096971,503166983.7,124863.2341,229.6500197,-184655863.4,-1586787.958,53.02650998,,13.00643575,174842.472,-829199274.3,16.5573786,0.892489783,1.84455E+15,450427.4639,0.026258305,288358.4,466711.1994,-6.882783126,0,,-12.30366966,72954675.2,-491.2830939,1.038119338,305.3929071,,11,-1.20733E+13,253.9788763,275656.9109,294816.807,,1.071796344,-311795.4987,1.492214605,1.619812749,410.5335123,-15.15925843,0,4505.6,7.88417E+13,0.88,,564095889.8,1.177685224,1.7048E+13,,,-1.46686E+11,18022.4,55403418.64,411002.0057,-2.88779E+12,1126.4,659614.1121,-13799726.28,128.8343182,-334384.3002,3.405780752,82981.30122,245.1966075,0,-909619683.5,387.4474979,0.198070561,0.089871246,7.050313019,150.1532337,3
18,61.4999325,288358.4,1.10867657,2.218416551,181.6275698,6.839794059,2.333473572,-3.76003E+11,-537347.8377,-2.6614E+15,1.086738318,339.7960043,110730.5347,-6.794258574,1.730281777,1.030542053,3.1866E+12,50120.78283,8833.113455,30.43110169,,102300.5007,0.031615634,318.7366274,0.542145047,144661.1914,1597.315747,-14.45374375,469.0062829,0.469018636,,113.101436,44,1.258360965,2.257846057,26.58747548,-3.76503E+12,152521.8818,36.52806449,-1839911147,496078.1091,273.6074999,-1158975447,-463195.6495,35.27284354,0.15515893,-1.493967228,86741.57352,88984017.49,-6.984911697,0.103994778,6.53568E+15,201121.0916,1.363502104,288358.4,342112.5289,-4.481712142,0,-76319.57539,5.651526981,72954675.2,-971720.0999,0.488943218,243.8728197,1126.4,11,-1.24666E+13,85.31201395,157854.3969,,180.5942292,1.034480045,6676534.084,0.084185109,,509.7012378,-9.409602692,0,4505.6,-2.89625E+15,0.88,50.76973584,-16650052285,0.374602474,-1.62899E+14,0.012453662,4.12117E+12,22085738845,18022.4,-90450530.75,135328.1416,2.52559E+12,,30206.86163,-34533096.32,,161746.9806,-16.39169215,91047.64999,177.3817176,0,-500171889.2,172.9508864,1.977363458,2.026065766,17.38501585,,0
19,90.45035112,288358.4,1.107547223,0.022798946,148.5409018,6.877127665,13.09115445,-12273300182,329460.1273,1.90632E+15,1.069849369,513.7993744,378056.1328,-17.11848624,-9.585418065,1.069591274,7.06462E+12,21996.73924,24962.35495,4.419749802,1980,195632.7944,0.022876097,175.9664162,1.004795324,106625.9296,149796.5517,3.339291824,341.7336894,0.503794374,-18.15339196,104.0830218,,8.81968504,,-17.45422021,4.93743E+12,,-2.012891032,750430777.7,604212.779,,331930809.3,-489260.9515,8.316267259,,-19.57737793,679761.9388,-301001439.3,-45.65741835,0.124124806,-4.34539E+15,670876.1399,0.50077393,288358.4,550174.2474,5.786450275,0,-103002.012,8.134483172,,-888955.888,,205.9812812,1126.4,11,2.15326E+13,13.94517986,478806.1413,442538.7098,155.2421625,0.049977076,1750831.535,0.26219213,0.154141343,556.7681115,-6.296146137,0,4505.6,4.26587E+15,,-5.885395412,-5348934374,3.18664235,2.0892E+14,0.026754405,6.48872E+12,31689497033,18022.4,167899322.7,317048.7837,2.49809E+12,1126.4,146008.8674,-16898150.45,80.09579445,,21.05574634,197886.7883,288.5010058,0,-452667583.3,163.2359878,,0.37824556,9.418152899,239.6578742,0
20,78.51489557,,1.105645573,0.2552591,180.294017,-0.746576543,-4.782139304,-2.33763E+11,136823.2704,9.10924E+14,1.077372952,239.0432899,461851.4778,60.44208361,75.91539809,,-2.81655E+13,96897.25952,328247.2504,4.125264924,1980,150596.2884,0.006835792,301.9085002,3.367165552,264241.3964,132809.9717,-7.776382566,,0.756450988,-17.23580315,29.15133388,44,48.77886837,0.574235731,35.29603384,-7.90601E+11,673454.3821,23.22024559,1446080501,186776.6414,181.4015367,-436485888.2,1142136.046,55.60136942,1.305895946,70.07799766,585430.8024,419661896,18.54582771,0.400033326,,632169.5923,0.402129228,288358.4,626790.9102,22.60867933,0,-47056.58816,44.30364754,,-582276.4128,0.71270921,76.61960221,1126.4,11,-1.55654E+13,134.3196364,460882.0721,348633.5024,167.778894,0.033135607,-5618560.082,1.185960326,0.190294196,648.4319717,40.7070945,0,4505.6,,0.88,-40.0266277,,0.361132031,2.88549E+13,0.008143909,-9.56108E+12,-11793969418,18022.4,-210992757.2,295938.9267,-2.2178E+12,1126.4,796537.2519,5070293.43,106.8294431,856831.0917,41.48083036,55674.80436,245.9189143,0,311065656.4,106.3284493,1.165015164,2.491918822,46.73045135,95.12916142,2
